#query	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000001_01058	COG0437@1|root,COG0437@2|Bacteria,1VAJE@1239|Firmicutes,25EIF@186801|Clostridia,25RMH@186804|Peptostreptococcaceae	186801|Clostridia	C	4Fe-4S dicluster domain	-	-	-	ko:K00196,ko:K07307,ko:K08358	ko00633,ko00680,ko00720,ko00920,ko01120,ko01200,ko02020,map00633,map00680,map00720,map00920,map01120,map01200,map02020	-	R07157,R08034,R09501,R10150	RC00250,RC02555,RC02800,RC03109	ko00000,ko00001,ko02000	5.A.3.10,5.A.3.3	-	-	Fer4_11,Fer4_4
MGYG000000001_00676	COG2195@1|root,COG2195@2|Bacteria,1TP3A@1239|Firmicutes,248JJ@186801|Clostridia,36EEA@31979|Clostridiaceae	186801|Clostridia	E	Cleaves the N-terminal amino acid of tripeptides	-	-	3.4.11.4	ko:K01258	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20,Peptidase_M28,Peptidase_M42
MGYG000000001_00128	COG1136@1|root,COG1136@2|Bacteria,1TP5M@1239|Firmicutes,24BH7@186801|Clostridia,36GJ4@31979|Clostridiaceae	186801|Clostridia	V	ABC transporter	-	-	-	ko:K02003	-	M00258	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
MGYG000000001_01947	COG0395@1|root,COG0395@2|Bacteria,1TRCP@1239|Firmicutes,25C50@186801|Clostridia,36WPD@31979|Clostridiaceae	186801|Clostridia	P	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02026,ko:K05815	ko02010,map02010	M00198,M00207	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1,3.A.1.1.3	-	-	BPD_transp_1
MGYG000000001_00313	2EX5K@1|root,33QGM@2|Bacteria,1VU5V@1239|Firmicutes,25JGA@186801|Clostridia,25SET@186804|Peptostreptococcaceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000001_01998	COG1947@1|root,COG1947@2|Bacteria,1TPXV@1239|Firmicutes,24898@186801|Clostridia,25QT8@186804|Peptostreptococcaceae	186801|Clostridia	F	Catalyzes the phosphorylation of the position 2 hydroxy group of 4-diphosphocytidyl-2C-methyl-D-erythritol	ispE	-	2.7.1.148	ko:K00919	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	R05634	RC00002,RC01439	ko00000,ko00001,ko00002,ko01000	-	-	-	DUF1934,GHMP_kinases_C,GHMP_kinases_N
MGYG000000001_01331	COG1532@1|root,COG1532@2|Bacteria,1UEI0@1239|Firmicutes,25JFD@186801|Clostridia,25TW1@186804|Peptostreptococcaceae	186801|Clostridia	S	Predicted RNA-binding protein	-	-	-	-	-	-	-	-	-	-	-	-	RNA_bind_2
MGYG000000001_01595	COG0534@1|root,COG0534@2|Bacteria,1TQMT@1239|Firmicutes,249WJ@186801|Clostridia,36FU2@31979|Clostridiaceae	186801|Clostridia	V	Mate efflux family protein	-	-	-	ko:K03327	-	-	-	-	ko00000,ko02000	2.A.66.1	-	-	MatE
MGYG000000001_01459	COG1301@1|root,COG1301@2|Bacteria,1TP4N@1239|Firmicutes,2494N@186801|Clostridia,36EQH@31979|Clostridiaceae	186801|Clostridia	C	Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family	-	-	-	-	-	-	-	-	-	-	-	-	SDF
MGYG000000001_03052	COG0542@1|root,COG0542@2|Bacteria,1TPMU@1239|Firmicutes,247TD@186801|Clostridia,25QH6@186804|Peptostreptococcaceae	186801|Clostridia	O	Belongs to the ClpA ClpB family	clpC	-	-	ko:K03695,ko:K03696	ko01100,ko04213,map01100,map04213	-	-	-	ko00000,ko00001,ko03110	-	-	-	AAA,AAA_2,ClpB_D2-small,Clp_N,UVR
MGYG000000001_02436	COG0142@1|root,COG0142@2|Bacteria,1TPQY@1239|Firmicutes,248DE@186801|Clostridia,36EGM@31979|Clostridiaceae	186801|Clostridia	H	Belongs to the FPP GGPP synthase family	ispA	-	2.5.1.1,2.5.1.10,2.5.1.29	ko:K13789	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00364,M00366	R01658,R02003,R02061	RC00279	ko00000,ko00001,ko00002,ko01000,ko01006	-	-	iHN637.CLJU_RS05465	polyprenyl_synt
MGYG000000001_02965	COG2610@1|root,COG2610@2|Bacteria,1TQ14@1239|Firmicutes,248PQ@186801|Clostridia,36ESW@31979|Clostridiaceae	186801|Clostridia	EG	Gluconate	-	-	-	ko:K03299	-	-	-	-	ko00000,ko02000	2.A.8	-	-	GntP_permease
MGYG000000001_00290	COG2868@1|root,COG2868@2|Bacteria,1VW8F@1239|Firmicutes,25CYG@186801|Clostridia,25UN3@186804|Peptostreptococcaceae	186801|Clostridia	J	Pfam:Peptidase_C108	-	-	-	ko:K07584	-	-	-	-	ko00000	-	-	-	Peptidase_Prp
MGYG000000001_01757	COG0534@1|root,COG0534@2|Bacteria,1TPFM@1239|Firmicutes,247J9@186801|Clostridia,3WGNN@541000|Ruminococcaceae	186801|Clostridia	V	MatE	-	-	-	-	-	-	-	-	-	-	-	-	MatE
MGYG000000001_01185	COG0612@1|root,COG0612@2|Bacteria,1TPN6@1239|Firmicutes,248J8@186801|Clostridia,36G8B@31979|Clostridiaceae	186801|Clostridia	S	Peptidase M16	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M16,Peptidase_M16_C
MGYG000000001_02664	COG3118@1|root,COG3118@2|Bacteria,1VA3Y@1239|Firmicutes,24MM5@186801|Clostridia,36KFX@31979|Clostridiaceae	186801|Clostridia	O	Belongs to the thioredoxin family	trxA	-	-	ko:K03671	ko04621,ko05418,map04621,map05418	-	-	-	ko00000,ko00001,ko03110	-	-	-	Thioredoxin
MGYG000000001_02732	COG0385@1|root,COG0385@2|Bacteria,1TP85@1239|Firmicutes,4H2JD@909932|Negativicutes	909932|Negativicutes	S	Bile acid	-	-	-	-	-	-	-	-	-	-	-	-	SBF
MGYG000000001_01867	COG3291@1|root,COG4409@1|root,COG3291@2|Bacteria,COG4409@2|Bacteria,1TQRX@1239|Firmicutes,247TP@186801|Clostridia,36HHM@31979|Clostridiaceae	186801|Clostridia	G	Sialidase, N-terminal domain	-	-	3.2.1.18	ko:K01186	ko00511,ko00600,ko04142,map00511,map00600,map04142	-	R04018	RC00028,RC00077	ko00000,ko00001,ko01000,ko02042	-	GH33	-	BNR_2,Big_2,F5_F8_type_C,FIVAR,Flg_new,Lipase_GDSL_2,NPCBM,Sialidase,Sialidase_penC,fn3
MGYG000000001_01210	COG0206@1|root,COG0206@2|Bacteria,1TP6W@1239|Firmicutes,247Z5@186801|Clostridia,25QCR@186804|Peptostreptococcaceae	186801|Clostridia	D	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity	ftsZ	-	-	ko:K03531	ko04112,map04112	-	-	-	ko00000,ko00001,ko02048,ko03036,ko04812	-	-	-	FtsZ_C,Tubulin
MGYG000000001_00052	291FR@1|root,2ZP2I@2|Bacteria,1W22X@1239|Firmicutes,25522@186801|Clostridia,25S0T@186804|Peptostreptococcaceae	186801|Clostridia	S	Spo0E like sporulation regulatory protein	-	-	-	-	-	-	-	-	-	-	-	-	SpoOE-like
MGYG000000001_00186	COG0744@1|root,COG0744@2|Bacteria,1V1XZ@1239|Firmicutes,24APC@186801|Clostridia,36HZ2@31979|Clostridiaceae	186801|Clostridia	M	Transglycosylase	-	-	2.4.1.129,3.4.16.4	ko:K05366	ko00550,ko01100,ko01501,map00550,map01100,map01501	-	-	-	ko00000,ko00001,ko01000,ko01003,ko01011	-	GT51	-	Transgly
MGYG000000001_02220	COG2986@1|root,COG2986@2|Bacteria,1TPCW@1239|Firmicutes,247XP@186801|Clostridia,36DCC@31979|Clostridiaceae	186801|Clostridia	E	Histidine ammonia-lyase	hutH	-	4.3.1.3	ko:K01745	ko00340,ko01100,map00340,map01100	M00045	R01168	RC00361	ko00000,ko00001,ko00002,ko01000	-	-	-	Lyase_aromatic
MGYG000000001_01379	COG3339@1|root,COG3339@2|Bacteria,1VYQF@1239|Firmicutes	1239|Firmicutes	S	Protein of unknown function (DUF1232)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1232
MGYG000000001_01411	COG0791@1|root,COG0791@2|Bacteria,1VE8F@1239|Firmicutes	1239|Firmicutes	MT	NlpC/P60 family	-	-	-	-	-	-	-	-	-	-	-	-	NLPC_P60,SH3_3
MGYG000000001_01443	COG1087@1|root,COG1087@2|Bacteria,1TQ7N@1239|Firmicutes,247M9@186801|Clostridia,36DGP@31979|Clostridiaceae	186801|Clostridia	M	Belongs to the NAD(P)-dependent epimerase dehydratase family	galE	-	5.1.3.2	ko:K01784	ko00052,ko00520,ko01100,map00052,map00520,map01100	M00361,M00362,M00632	R00291,R02984	RC00289	ko00000,ko00001,ko00002,ko01000	-	-	-	Epimerase,GDP_Man_Dehyd
MGYG000000001_01475	COG1501@1|root,COG1501@2|Bacteria,1TR8N@1239|Firmicutes,4HB1D@91061|Bacilli,1ZB3C@1386|Bacillus	91061|Bacilli	G	Belongs to the glycosyl hydrolase 31 family	-	-	3.2.1.20	ko:K01187	ko00052,ko00500,ko01100,map00052,map00500,map01100	-	R00028,R00801,R00802,R06087,R06088	RC00028,RC00049,RC00077	ko00000,ko00001,ko01000	-	GH31	-	DUF4968,DUF5110,Gal_mutarotas_2,Glyco_hydro_31
MGYG000000001_01507	COG2333@1|root,COG2333@2|Bacteria,1TS9U@1239|Firmicutes,4H9N3@91061|Bacilli,1WH7M@129337|Geobacillus	91061|Bacilli	S	Metallo-beta-lactamase superfamily	-	-	-	-	-	-	-	-	-	-	-	-	Excalibur,HHH_3,Lactamase_B,SLH
MGYG000000001_01539	COG2211@1|root,COG2211@2|Bacteria,37B2Z@32066|Fusobacteria	32066|Fusobacteria	G	MFS/sugar transport protein	-	-	-	-	-	-	-	-	-	-	-	-	MFS_2
MGYG000000001_01571	2DQ8Z@1|root,335CG@2|Bacteria,1V9R5@1239|Firmicutes,24JTW@186801|Clostridia,36KXI@31979|Clostridiaceae	186801|Clostridia	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	DUF2232,ECF-ribofla_trS
MGYG000000001_01603	COG1185@1|root,COG1185@2|Bacteria,1TQDW@1239|Firmicutes,248RW@186801|Clostridia,25QG3@186804|Peptostreptococcaceae	186801|Clostridia	J	Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction	pnp	-	2.7.7.8	ko:K00962	ko00230,ko00240,ko03018,map00230,map00240,map03018	M00394	R00437,R00438,R00439,R00440	RC02795	ko00000,ko00001,ko00002,ko01000,ko03016,ko03019	-	-	-	KH_1,PNPase,RNase_PH,RNase_PH_C,S1
MGYG000000001_01635	COG2220@1|root,COG2220@2|Bacteria,1V3HY@1239|Firmicutes,24HK9@186801|Clostridia,25RPY@186804|Peptostreptococcaceae	186801|Clostridia	S	Psort location Cytoplasmic, score	folD4	-	-	-	-	-	-	-	-	-	-	-	Lactamase_B_3,TIR_2,TPR_10,TPR_12
MGYG000000001_01667	COG0860@1|root,COG0860@2|Bacteria,1VGET@1239|Firmicutes,24JBC@186801|Clostridia	186801|Clostridia	M	Ami_3	-	-	3.5.1.28	ko:K01448	ko01503,map01503	M00727	R04112	RC00064,RC00141	ko00000,ko00001,ko00002,ko01000,ko01011,ko03036	-	-	-	Amidase_3
MGYG000000001_01797	COG0477@1|root,COG2814@2|Bacteria,1TPRN@1239|Firmicutes,249RZ@186801|Clostridia,36GH3@31979|Clostridiaceae	186801|Clostridia	P	TIGRFAM drug resistance transporter, EmrB QacA subfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1,Sugar_tr
MGYG000000001_01829	COG1061@1|root,COG1061@2|Bacteria,1TQ62@1239|Firmicutes,24IX6@186801|Clostridia,36QMY@31979|Clostridiaceae	186801|Clostridia	L	helicase superfamily c-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Helicase_C,ResIII
MGYG000000001_01925	COG0534@1|root,COG0534@2|Bacteria,1TNZN@1239|Firmicutes,247YX@186801|Clostridia,25QX9@186804|Peptostreptococcaceae	186801|Clostridia	V	MATE efflux family protein	mepA_10	-	-	-	-	-	-	-	-	-	-	-	MatE
MGYG000000001_01989	COG0564@1|root,COG0564@2|Bacteria,1TX59@1239|Firmicutes,24HTV@186801|Clostridia,25QEF@186804|Peptostreptococcaceae	186801|Clostridia	J	Pseudouridine synthase	rluC	-	5.4.99.23	ko:K06180	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	PseudoU_synth_2
MGYG000000001_02021	2DFVS@1|root,2ZTCT@2|Bacteria,1W292@1239|Firmicutes	1239|Firmicutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000001_02089	COG4377@1|root,COG4377@2|Bacteria,1V3UF@1239|Firmicutes,24JI9@186801|Clostridia,36K76@31979|Clostridiaceae	186801|Clostridia	S	Putative membrane peptidase family (DUF2324)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2324
MGYG000000001_02121	COG0013@1|root,COG0013@2|Bacteria,1TSBZ@1239|Firmicutes,249VN@186801|Clostridia,25QQB@186804|Peptostreptococcaceae	186801|Clostridia	J	Threonine alanine tRNA ligase second additional domain protein	alaXL	-	6.1.1.7	ko:K01872	ko00970,map00970	M00359,M00360	R03038	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	DHHA1,tRNA-synt_2c,tRNA_SAD
MGYG000000001_02185	COG2099@1|root,COG2099@2|Bacteria,1UHWY@1239|Firmicutes,24GIQ@186801|Clostridia,25QQ6@186804|Peptostreptococcaceae	186801|Clostridia	H	reductase	cobK	-	1.3.1.106,1.3.1.54	ko:K05895	ko00860,ko01100,map00860,map01100	-	R05150,R05812	RC01280	ko00000,ko00001,ko01000	-	-	iHN637.CLJU_RS15690	CbiJ
MGYG000000001_02250	COG5377@1|root,COG5377@2|Bacteria	2|Bacteria	L	YqaJ viral recombinase family	yqaJ	-	-	-	-	-	-	-	-	-	-	-	Rho_N,YqaJ
MGYG000000001_02411	COG2186@1|root,COG2186@2|Bacteria,1V2TU@1239|Firmicutes,24GA8@186801|Clostridia,25RBA@186804|Peptostreptococcaceae	186801|Clostridia	K	FCD	-	-	-	ko:K05799	-	-	-	-	ko00000,ko03000	-	-	-	FCD,GntR
